,Date,Hits,False Alarms,Misses,Correct Negatives,POD,FAR,Accuracy
41,20190217,2729167,10287513,1126330,36640317,0.7078638629468522,0.7903330956895307,0.7752442844085422
42,20190218,2823466,11543190,1589516,36724653,0.6398090905424042,0.8034708981686483,0.7507118387003241
43,20190219,3737404,13092450,1389168,35795200,0.7290259456026366,0.7779300996907044,0.7318925004603417
44,20190220,3740367,13280589,1503098,35677669,0.7133387940989403,0.7802492997455607,0.7272469179623681
45,20190221,3798383,12255970,1337183,35138155,0.7396230522594783,0.7634047912114552,0.7412291460081118
46,20190222,4781265,12973967,1816746,36759942,0.7246524748140007,0.7307123331308766,0.7374363771020054
47,20190223,4822690,12895803,1633097,35910410,0.7470336304466055,0.7278160168587701,0.737090586659911
48,20190224,5268728,14905631,2429752,39040305,0.6843854890835593,0.7388403765393488,0.7187842123445537
49,20190225,4174783,11939405,2007416,39262701,0.6752909442093339,0.7409250158928269,0.7569575687986463
50,20190226,5355442,12238940,1885151,36611426,0.7396413525798232,0.6956163620864887,0.7481930911539594
51,20190227,5173391,13150587,1414572,33899237,0.7852793040883805,0.7176709664244303,0.7284533942461123
52,20190228,5752131,14382120,1845632,35345639,0.7570821832689437,0.7143111506854662,0.7169192458465533
53,20190301,6062901,15768912,2209461,36060676,0.7329105036747666,0.7222905399565304,0.7008687238933179
54,20190302,6543203,15615896,2321611,36009194,0.7381094515914265,0.7047171006366278,0.7034627960394846
55,20190303,7275890,15618468,2095365,39084620,0.7764050812831366,0.682197247024791,0.7235424950045918
56,20190304,7048552,16432565,2229683,37983006,0.7596867292108898,0.6998204131430374,0.7070005833848271
57,20190305,7775614,15575008,2076217,38745317,0.7892557231239553,0.6670061294298713,0.7249395049154964
58,20190306,7961489,15941277,2102758,39342192,0.7910665348336542,0.6669218533118719,0.7238765774154984
59,20190307,7248112,15500559,2737889,37334161,0.7258272856171354,0.6813830574981721,0.709674647000629
60,20190308,8425486,14989355,1936539,35682200,0.813111915865866,0.6401647143365184,0.7226789908112878
61,20190309,8750388,15362747,1957533,37889808,0.8171883225511283,0.6371111429517564,0.7292033911692589
62,20190310,7982977,15607129,2244331,36265600,0.7805550590634407,0.661596391300658,0.7125370472806642
63,20190313,10065232,15851489,2594584,39978170,0.7950535773979653,0.611631733813857,0.730672880760146
64,20190314,10828316,16174864,2274557,38662508,0.8264077656861972,0.5989984883261897,0.7284463575307978
65,20190315,11072656,18189792,2443599,36962249,0.819210350796134,0.621608691111557,0.6995208531168445
66,20190316,10539116,19496230,2217091,37934798,0.8261951221080059,0.6491095524586266,0.690637179253464
67,20190317,11965709,18404782,2409942,40355662,0.8323594527997376,0.6060087075971212,0.7153973834670828
68,20190318,8984988,15398492,2009665,39569784,0.8172143313663469,0.6315133032692626,0.7360918130242519
69,20190319,12097462,18023799,2578468,40019286,0.8243063301610187,0.5983746497200101,0.7166866602909844
70,20190320,11403992,19298607,2282337,40316778,0.8332396510415613,0.6285659074008686,0.7055874573410384
71,20190321,10787944,18042204,2125784,25777262,0.8353857228524559,0.6258103149522507,0.644511676885317
72,20190322,12490672,17389672,1806132,38950747,0.8736688283619192,0.5819769678689107,0.7282480371574064
73,20190323,13413330,17893291,2505479,37928179,0.842608891155111,0.5715497370348592,0.7156580614915088
74,20190324,13783745,18042538,2411980,36667391,0.8510730455104665,0.5669068549412446,0.7115248665501344
75,20190325,11486444,11888661,2342097,28185902,0.8306331087278116,0.5086035335456247,0.7359937193969386
76,20190326,16143127,15488242,2667159,38114867,0.858207419068482,0.48964817172472047,0.7492811792624832
77,20190327,16067337,16768432,2964395,37861174,0.8442393472123294,0.5106757816453149,0.7321141926582979
78,20190328,15122653,18758065,2803308,39128290,0.8436174216824415,0.5536501617232551,0.71559537898829
79,20190329,16704736,17928417,2605721,40507785,0.8650616606328893,0.5176663239411092,0.7358839818441587
80,20190330,17597005,19233912,2458069,40561002,0.8774340598294477,0.5222219148114069,0.7283408358182847
81,20190331,15453552,16272447,2582353,35174189,0.856821545689002,0.5129057401785835,0.7286397456304887
82,20190401,18103732,17428876,2782795,42145717,0.8667660257734567,0.49050370859352627,0.7488020176701493
83,20190402,17151072,17191191,2546908,41707675,0.8707020719891075,0.5005841053631207,0.748869070395013
84,20190403,16196979,16973429,2182362,40922864,0.8812600517069682,0.5117039561286072,0.7488609403102438
85,20190404,17437164,17337141,2518959,39784231,0.8737751315724,0.4985618260379323,0.7423878396670779
86,20190405,19091997,18885178,2599195,37119608,0.8801727908729036,0.4972770618141028,0.7234815295072288
87,20190406,17919323,17485500,2555999,39373869,0.8751668471929281,0.4938733912043565,0.7408472350397055
88,20190407,18145159,17295549,2433528,41426770,0.8817452250476427,0.488013642391117,0.7512127778051139
89,20190408,17738800,17659900,1869544,42149132,0.904655691475017,0.49888555229429327,0.7540910442571157
90,20190409,17492508,17114094,1805788,44446647,0.9064275933999562,0.49453263281959897,0.7660140078096651
91,20190410,18851253,16269131,1453667,43965957,0.9284081395051051,0.46323898394732815,0.7799503819269549
92,20190411,18752679,16118994,1821187,43764443,0.9114805647125338,0.46223747280493255,0.7770223418997776
93,20190412,17215604,14983109,1815380,42456478,0.9046092414349147,0.46533254294977566,0.7803274020276375
94,20190413,15799135,15068765,2050627,40776385,0.8851174038062805,0.4881694251957535,0.7676991323363003
95,20190414,18423868,16581051,1969074,39412165,0.9034433580010182,0.47367774226245174,0.7571533182752823
96,20190415,18484613,15700694,1688869,41678340,0.9162827220407463,0.45928193653489785,0.7757704856409816
97,20190416,17717729,15114960,1525710,40470015,0.9207153149704687,0.46036314600975875,0.7776156260641847
98,20190417,18178653,15464084,1438070,43630564,0.926691629381727,0.45965594297515094,0.785264139281731
99,20190418,17677480,16632295,1949587,47141637,0.9006684493409025,0.48476840783712516,0.7771983282838135
100,20190419,16765896,15993036,1868123,45078484,0.8997466408078687,0.4882038278903598,0.7759106929820775
101,20190420,17713663,14315017,1479045,47220972,0.9229371384173615,0.44694370795174826,0.8043562873311333
102,20190421,16759615,14064842,1871532,47582930,0.8995482135372557,0.45628839463416987,0.8014874365709882
103,20190422,16620367,15468189,1753661,46718629,0.9045576179594371,0.48204690170539305,0.7862255567673656
104,20190423,17072586,15558579,1570300,44866803,0.915769479038814,0.47680121135730213,0.7833659515597332
105,20190424,17101505,15570103,1424767,47334868,0.9230947812922103,0.4765637185656733,0.7912979174344668
106,20190425,16981457,16097008,1699814,51109379,0.9090097242312902,0.48663104530394624,0.7927895297831966
107,20190426,16535063,15067153,1337169,49100086,0.9251817568169437,0.47677520462489087,0.800043542455314
108,20190427,16527610,16378989,1570921,48403954,0.9132017399644203,0.49774177513756435,0.7834267522800089
109,20190428,17128199,16766850,1325226,49152360,0.9281853639636003,0.4946695902401557,0.7855693851448399
110,20190429,16449028,15837530,1693864,46567181,0.9066375966962709,0.4905301457033605,0.7823474151055743
111,20190430,15415947,15315253,1659732,47177319,0.9028014054375232,0.49836169755818194,0.7866613280213989
112,20190501,16662831,14799339,1238411,49112257,0.9308198280320438,0.470385195935309,0.8039702521992942
113,20190502,16846614,15068112,1632385,47618703,0.9116626934175385,0.47213665566171553,0.7942422286308864
114,20190503,17026037,15609928,1338307,46748858,0.9271247042638714,0.478304471769105,0.7900448731361135
115,20190504,16378877,15240755,1672533,45982955,0.9073461297483133,0.48200292147612595,0.7866507423766751
116,20190505,16095625,15812137,1884309,48388356,0.8951993372166994,0.4955576953344456,0.7846634941431979
117,20190506,16180042,15478812,1539679,48843912,0.9131092978269805,0.4889252150441074,0.7925647998423255
118,20190507,16054879,15619677,1530989,49309610,0.9129420850878671,0.49313010101862204,0.7921513205665068
119,20190508,15144623,15905877,1490947,48734454,0.9103759594651701,0.5122583211220432,0.7859534771567774
120,20190509,15481724,15714585,1456618,49508344,0.9140046882982998,0.5037321883175346,0.7910061177120787
121,20190510,14512920,14679341,1574291,52050978,0.9021402156035624,0.5028504301191333,0.803741647450727
122,20190511,14484214,13475694,1364458,52840294,0.9139071084315455,0.48196489058547687,0.8193852198743352
123,20190512,14484361,13149200,1619795,53596012,0.8994175789156538,0.47584167672056454,0.8217367813837759
124,20190513,14530659,13386869,1180379,55443719,0.9248694452906294,0.47951484099881625,0.8276914144045443
125,20190514,13408343,13632957,1083235,54794177,0.9252507214880257,0.5041531657131869,0.8225226653303539
126,20190515,14041082,13555749,930497,54288896,0.9378491072985689,0.4912067258737063,0.8250796124199046
127,20190516,13618917,12415677,866223,51717637,0.9401991972462813,0.4768915159575755,0.8310587486240826
128,20190517,13451423,12473293,923521,51782819,0.9357548105926534,0.48113518389169624,0.8296243916652982
129,20190518,13164702,12537232,970036,49268086,0.9313721980555989,0.4877933310388238,0.8221324988224923
130,20190519,13223111,12385533,758302,52056681,0.9457635648127982,0.48364657652314585,0.8323995522420813
131,20190520,12838244,13551772,930745,53444294,0.9324028074973406,0.5135189004811517,0.8206833759972058
132,20190521,12835351,13731963,826834,56209982,0.9394801051222773,0.5168743441659176,0.8258603133601174
133,20190522,12297352,12393907,1086770,56582144,0.9188015470869139,0.5019552465915165,0.8363204385206913
134,20190523,11982483,11799762,933859,55534559,0.9276994213996501,0.496158457706579,0.8413269059222601
135,20190524,12196811,11825847,735468,56041206,0.9431292813896143,0.4922788727209121,0.844536895428789
136,20190525,11921440,11682246,665117,55574761,0.9471565575875913,0.49493312188613253,0.8453555630357382
137,20190526,11490973,11911036,606413,57453406,0.9498723939204717,0.5089749345878809,0.8463396991287747
138,20190527,11177216,12207520,1013875,57629910,0.9168347607281415,0.5220294126903977,0.8388195369266745
139,20190528,11124693,10521024,1090620,55030842,0.910716982855863,0.48605569406640586,0.8506870874151163
140,20190529,10278138,10629897,1175188,62116403,0.8973932986802262,0.5084120530695496,0.8597964675044993
141,20190530,10320656,10629698,1148433,62387659,0.8998671123748364,0.50737557942935,0.8605914728618127
142,20190531,9945424,10915059,1118032,63458450,0.8989436935438618,0.5232409527622155,0.8591582577868959
